36:01.1,15,23,26,15,-3,-46,-84,-46,98,92,13,
36:01.1,-11,11,4,11,7,153,-93,179,-108,93,-108,a
36:01.1,-13,10,3,10,6,145,-92,179,-106,93,-106,a
36:01.1,17,26,28,18,-3,-50,-85,-50,103,93,13,
36:01.1,17,24,28,16,-4,-48,-85,-48,103,93,14,
36:01.1,-13,11,3,11,7,147,-93,179,-108,93,-108,a
36:01.1,15,23,25,14,-3,-48,-85,-48,101,92,13,
36:01.1,-13,12,4,11,6,157,-93,179,-106,93,-106,a
36:01.1,15,24,25,14,-3,-49,-85,-49,101,92,13,
36:01.1,-11,10,3,10,7,168,-93,179,-109,93,-109,a
36:01.1,17,25,27,15,-3,-46,-84,-46,104,93,14,
36:01.1,-9,10,4,11,7,155,-93,179,-108,93,-108,a
36:01.1,17,25,28,16,-3,-45,-84,-45,101,92,13,
36:01.2,-11,11,3,11,7,157,-93,179,-106,93,-106,a
36:01.2,17,25,28,15,-3,-46,-84,-46,103,93,12,
36:01.2,-11,10,3,11,7,146,-93,179,-109,94,-109,a
36:01.2,16,25,28,15,-3,-46,-84,-46,104,93,13,
36:01.2,-11,11,4,11,7,155,-93,179,-105,93,-105,a
36:01.2,17,24,27,15,-4,-45,-84,-45,102,93,13,
36:01.2,-13,10,4,11,7,143,-93,179,-107,93,-107,a
36:01.2,16,24,27,15,-3,-46,-84,-46,105,93,13,
36:01.2,-12,10,2,10,6,152,-93,179,-108,93,-108,a
36:01.2,15,25,27,15,-4,-45,-84,-45,102,93,14,
36:01.2,16,25,27,15,-3,-43,-84,-43,102,93,13,
36:01.2,-13,10,3,11,7,154,-93,179,-108,93,-108,a
36:01.2,-14,10,4,10,7,132,-92,178,-107,93,-107,a
36:01.2,16,25,27,15,-3,-46,-84,-46,102,93,14,
36:01.2,-13,10,3,10,7,152,-93,179,-104,92,-104,a
36:01.2,16,25,28,16,-4,-45,-84,-45,106,94,13,
36:01.2,16,25,28,15,-3,-51,-85,-51,104,93,13,
36:01.2,-11,12,4,11,7,153,-93,179,-106,93,-106,a
36:01.3,17,24,27,15,-3,-48,-85,-48,102,93,13,
36:01.3,-11,10,3,11,6,152,-94,178,-107,93,-107,a
36:01.3,-14,10,3,11,7,126,-92,178,-104,92,-104,a
36:01.3,17,24,26,15,-3,-45,-84,-45,99,92,14,
36:01.3,17,25,28,16,-4,-47,-84,-47,99,92,14,
36:01.3,-10,11,3,11,7,143,-93,178,-105,93,-105,a
36:01.3,17,25,28,16,-3,-47,-84,-47,98,92,14,
36:01.3,-14,10,3,10,7,140,-93,178,-105,93,-105,a
36:01.3,17,25,28,15,-4,-44,-84,-44,101,92,14,
36:01.3,-11,10,4,11,6,135,-93,178,-106,93,-106,a
36:01.3,17,25,28,15,-4,-45,-84,-45,101,93,14,
36:01.3,-13,11,3,11,7,141,-93,179,-107,93,-107,a
36:01.3,16,24,27,16,-3,-47,-84,-47,97,91,13,
36:01.3,-13,11,4,11,7,146,-93,178,-104,92,-104,a
36:01.3,16,25,28,15,-3,-45,-84,-45,101,92,13,
36:01.3,-11,10,3,11,7,139,-93,178,-105,93,-105,a
36:01.3,18,25,27,16,-3,-44,-84,-44,100,92,13,
36:01.4,-12,11,3,11,7,143,-93,178,-106,93,-106,a
36:01.4,17,25,28,15,-3,-45,-84,-45,101,92,13,
36:01.4,-15,10,4,11,7,145,-93,178,-105,93,-105,a
36:01.4,17,24,27,15,-3,-45,-84,-45,98,92,14,
36:01.4,-12,15,3,11,7,119,-92,178,-108,93,-108,a
36:01.4,17,25,28,16,-3,-46,-84,-46,100,92,14,
36:01.4,16,24,28,16,-3,-49,-84,-49,99,92,14,
