2023-05-19 15:43:55.799,,20.00,45.00,-39,-85,-39,"11°´µÿŠ©¹#RUµÔ® ’CÿTºÕ""ª¹_ÊÕŠ©÷ª¿E$>¥‰îTÉ›2hÏX»5RlOÒkÿ‚h×!]©z•&¶þDj(?I\£Òuý°”ä4¨ÿUµ5I<úÄ)Uþ µ]""jeÑ""ªþ¤Z*""j+D™µJ!?PfU¡:«¤d**•þ(×¤«þbTO V""Z+±´ß€ÒWAu¦ª/""T)ÿRd)µZ¥‰Rë”ºUU½SHU‚Ò^ÿr—LUO’^VeA¨U¤È¥Ðé+JÚýRYJTJËŠ)¶þ€J¹¤È7Z]…0",29.00,36.00,19.00,45.00,-38,-85,-38,107,93,11
2023-05-19 15:43:55.809,28.00,30.00,35.00,19.00,45.00,-33,-84,-33,111,94,11,,,,,,
2023-05-19 15:43:55.811,-14.00,1.00,-1.00,10.00,5.00,29,-90,179,-115,94,-115,a,,,,,
2023-05-19 15:43:55.814,-8.00,2.00,0.00,10.00,5.00,45,-91,178,-112,93,-112,a,,,,,
2023-05-19 15:43:55.819,29.00,30.00,35.00,19.00,45.00,-34,-84,-34,112,94,10,,,,,,
2023-05-19 15:43:55.822,-11.00,2.00,0.00,10.00,5.00,41,-90,178,-114,93,-114,a,,,,,
2023-05-19 15:43:55.827,28.00,30.00,35.00,31.00,36.00,-35,-84,-35,111,94,11,,,,,,
2023-05-19 15:43:55.832,-10.00,1.00,-2.00,10.00,5.00,18,-91,179,-112,93,-112,a,,,,,
2023-05-19 15:43:55.837,29.00,30.00,35.00,19.00,45.00,-35,-84,-35,112,94,10,,,,,,
2023-05-19 15:43:55.846,-11.00,2.00,0.00,10.00,5.00,-58,-91,-58,-115,93,-115,a,,,,,
2023-05-19 15:43:55.850,29.00,30.00,35.00,19.00,45.00,-37,-84,-37,108,93,11,,,,,,
2023-05-19 15:43:55.859,-10.00,2.00,-1.00,11.00,6.00,-46,-91,-46,-110,93,-110,a,,,,,
2023-05-19 15:43:55.861,28.00,30.00,35.00,20.00,45.00,-36,-84,-36,110,94,11,,,,,,
2023-05-19 15:43:55.866,-11.00,2.00,0.00,11.00,5.00,-41,-91,-41,-112,93,-112,a,,,,,
2023-05-19 15:43:55.871,28.00,30.00,35.00,19.00,45.00,-36,-84,-36,105,93,11,,,,,,
2023-05-19 15:43:55.876,27.00,30.00,36.00,19.00,45.00,-37,-84,-37,110,94,12,,,,,,
2023-05-19 15:43:55.880,-11.00,2.00,0.00,11.00,5.00,1,-90,179,-115,94,-115,a,,,,,
2023-05-19 15:43:55.892,28.00,30.00,35.00,19.00,44.00,-37,-84,-37,108,93,11,,,,,,
2023-05-19 15:43:55.898,-11.00,1.00,0.00,10.00,5.00,20,-90,179,-115,93,-115,a,,,,,
2023-05-19 15:43:55.900,-13.00,2.00,0.00,10.00,5.00,9,-90,179,-111,93,-111,a,,,,,
2023-05-19 15:43:55.905,28.00,30.00,34.00,19.00,45.00,-37,-84,-37,106,93,11,,,,,,
2023-05-19 15:43:55.911,-11.00,2.00,-1.00,10.00,5.00,-8,-90,-8,-112,93,-112,a,,,,,
2023-05-19 15:43:55.914,28.00,31.00,35.00,20.00,45.00,-38,-85,-38,103,92,12,,,,,,
2023-05-19 15:43:55.918,28.00,30.00,36.00,19.00,45.00,-39,-85,-39,113,94,11,,,,,,
2023-05-19 15:43:55.924,-11.00,2.00,-1.00,11.00,5.00,-34,-91,-34,-111,93,-111,a,,,,,
2023-05-19 15:43:55.934,29.00,30.00,35.00,20.00,45.00,-36,-84,-36,113,94,11,,,,,,
2023-05-19 15:43:55.938,-11.00,2.00,-1.00,11.00,5.00,-10,-91,-10,-116,93,-116,a,,,,,
2023-05-19 15:43:55.944,-13.00,2.00,0.00,10.00,5.00,-2,-90,-2,-109,92,-109,a,,,,,
2023-05-19 15:43:55.950,29.00,30.00,36.00,20.00,45.00,-36,-84,-36,111,94,10,,,,,,
2023-05-19 15:43:55.957,29.00,30.00,35.00,19.00,45.00,-36,-84,-36,112,94,11,,,,,,
2023-05-19 15:43:55.963,-12.00,2.00,-1.00,11.00,5.00,30,-91,179,-115,93,-115,a,,,,,
2023-05-19 15:43:55.969,27.00,29.00,35.00,19.00,45.00,-37,-84,-37,113,95,11,,,,,,
2023-05-19 15:43:55.974,-15.00,2.00,0.00,9.00,5.00,29,-90,179,-110,93,-110,a,,,,,
2023-05-19 15:43:55.981,-13.00,2.00,-1.00,10.00,5.00,28,-90,179,-113,93,-113,a,,,,,
2023-05-19 15:43:55.986,28.00,30.00,34.00,18.00,45.00,-39,-84,-39,111,94,11,,,,,,
2023-05-19 15:43:55.994,-11.00,2.00,0.00,11.00,4.00,35,-90,178,-115,93,-115,a,,,,,
2023-05-19 15:43:55.994,30.00,30.00,36.00,20.00,45.00,-40,-84,-40,110,94,11,,,,,,
2023-05-19 15:43:56.001,28.00,30.00,35.00,20.00,45.00,-37,-84,-37,110,94,11,,,,,,
2023-05-19 15:43:56.006,-13.00,2.00,0.00,11.00,5.00,15,-90,179,-111,93,-111,a,,,,,
2023-05-19 15:43:56.013,28.00,29.00,35.00,19.00,45.00,-37,-85,-37,111,94,11,,,,,,
2023-05-19 15:43:56.018,-8.00,2.00,0.00,10.00,5.00,23,-91,179,-112,93,-112,a,,,,,
2023-05-19 15:43:56.030,29.00,30.00,35.00,19.00,46.00,-36,-85,-36,112,95,12,,,,,,
2023-05-19 15:43:56.039,-11.00,2.00,-1.00,10.00,5.00,12,-89,179,-112,93,-112,a,,,,,
