2023-05-19 15:38:21.331,22.00,32.00,"3‚©I™ëåHÔŸD""UTT3TR…JÖ{""l•ªR…™uû•ZUÿ*V›Jêê¤ªÒ D]A•Wþ""dJ ”®þ‘­÷JISU©U*V•®š""^†J)¥R+*Z+RQÖ¿J©¥J×?$«ùJ	*(T®}""P r/¢*7`®ehRª*ÚË*ÔU@²©üTT®¨V*âÞRÚù jºÒ¤Tê“2ªE?…Ò;ýDšê@tUÿ’:•PJÛT©JšüJRª•X•D)Ò½ÿ t-JÒ…JZÊ©ÿb$ªÿÈbÎ’RJ×ó ª/*ReÈºUTRå**û?ÂÖŠRj.00",5.00,15.00,9.00,85,-91,175,-97,91,-97,a
2023-05-19 15:38:21.335,-6.00,26.00,5.00,14.00,9.00,88,-91,175,-99,91,-99,a,
2023-05-19 15:38:21.343,19.00,30.00,30.00,16.00,-5.00,-22,-81,-22,108,93,8,,
2023-05-19 15:38:21.346,-8.00,26.00,5.00,14.00,9.00,91,-92,175,-99,91,-99,a,
2023-05-19 15:38:21.346,21.00,30.00,32.00,15.00,-5.00,-23,-83,-23,104,92,8,,
2023-05-19 15:38:21.352,21.00,32.00,33.00,19.00,-6.00,-24,-82,-24,107,92,8,,
2023-05-19 15:38:21.358,-10.00,26.00,5.00,15.00,10.00,98,-92,176,-98,91,-98,a,
2023-05-19 15:38:21.362,21.00,30.00,32.00,18.00,-6.00,-22,-83,-22,112,93,7,,
2023-05-19 15:38:21.368,-5.00,26.00,5.00,14.00,9.00,91,-92,176,-96,90,-96,a,
2023-05-19 15:38:21.374,-10.00,26.00,5.00,15.00,10.00,83,-91,175,-99,91,-99,a,
2023-05-19 15:38:21.381,20.00,30.00,30.00,15.00,-6.00,-19,-82,-19,104,92,8,,
2023-05-19 15:38:21.385,-9.00,25.00,7.00,14.00,9.00,85,-91,176,-99,91,-99,a,
2023-05-19 15:38:21.389,21.00,31.00,32.00,18.00,-6.00,-22,-83,-22,108,92,8,,
2023-05-19 15:38:21.394,21.00,31.00,33.00,19.00,-6.00,-19,-83,-19,108,92,8,,
2023-05-19 15:38:21.398,-6.00,26.00,5.00,14.00,10.00,92,-92,176,-100,91,-100,a,
2023-05-19 15:38:21.405,21.00,31.00,33.00,18.00,-6.00,-23,-84,-23,107,92,8,,
2023-05-19 15:38:21.408,-7.00,26.00,5.00,14.00,9.00,99,-92,176,-99,91,-99,a,
2023-05-19 15:38:21.419,-9.00,26.00,5.00,14.00,9.00,90,-92,176,-102,92,-102,a,
2023-05-19 15:38:21.422,20.00,31.00,32.00,18.00,-6.00,-21,-83,-21,105,92,9,,
2023-05-19 15:38:21.430,22.00,33.00,33.00,18.00,-6.00,-22,-83,-22,106,93,10,,
2023-05-19 15:38:21.432,-8.00,26.00,5.00,14.00,9.00,106,-93,176,-101,91,-101,a,
2023-05-19 15:38:21.438,21.00,31.00,34.00,18.00,-6.00,-22,-83,-22,99,91,9,,
2023-05-19 15:38:21.444,-8.00,26.00,5.00,14.00,9.00,97,-92,176,-100,91,-100,a,
2023-05-19 15:38:21.447,21.00,31.00,33.00,19.00,-6.00,-24,-84,-24,101,91,9,,
2023-05-19 15:38:21.453,-7.00,26.00,5.00,14.00,9.00,89,-91,176,-101,92,-101,a,
2023-05-19 15:38:21.465,21.00,31.00,32.00,19.00,-6.00,-23,-83,-23,102,92,9,,
2023-05-19 15:38:21.469,-10.00,26.00,5.00,14.00,9.00,91,-92,176,-100,91,-100,a,
2023-05-19 15:38:21.477,21.00,31.00,33.00,19.00,-6.00,-24,-83,-24,100,91,10,,
2023-05-19 15:38:21.481,-9.00,27.00,5.00,14.00,9.00,90,-92,175,-103,92,-103,a,
2023-05-19 15:38:21.489,21.00,31.00,32.00,19.00,-6.00,-24,-83,-24,96,91,10,,
2023-05-19 15:38:21.490,-9.00,26.00,5.00,14.00,9.00,98,-92,176,-101,92,-101,a,
2023-05-19 15:38:21.494,21.00,32.00,33.00,18.00,-6.00,-26,-83,-26,100,92,10,,
2023-05-19 15:38:21.503,-9.00,26.00,5.00,14.00,9.00,105,-92,176,-103,92,-103,a,
2023-05-19 15:38:21.510,23.00,33.00,32.00,18.00,-6.00,-24,-82,-24,103,92,10,,
2023-05-19 15:38:21.518,-5.00,26.00,5.00,13.00,10.00,104,-92,176,-103,92,-103,a,
2023-05-19 15:38:21.524,22.00,31.00,33.00,18.00,-6.00,-25,-82,-25,101,92,10,,
2023-05-19 15:38:21.524,-10.00,26.00,5.00,15.00,9.00,100,-92,176,-104,92,-104,a,
2023-05-19 15:38:21.529,20.00,31.00,32.00,16.00,-6.00,-26,-82,-26,93,90,10,,
2023-05-19 15:38:21.534,-9.00,26.00,5.00,14.00,9.00,101,-92,176,-104,92,-104,a,
2023-05-19 15:38:21.540,21.00,30.00,32.00,18.00,-6.00,-26,-82,-26,100,92,10,,
2023-05-19 15:38:21.545,21.00,32.00,33.00,19.00,-6.00,-27,-82,-27,96,91,10,,
2023-05-19 15:38:21.551,-7.00,26.00,5.00,14.00,10.00,90,-92,177,-103,92,-103,a,
2023-05-19 15:38:21.561,-9.00,25.00,5.00,14.00,9.00,106,-92,177,-102,92,-102,a,
2023-05-19 15:38:21.568,21.00,31.00,33.00,19.00,-6.00,-28,-82,-28,96,91,10,,
2023-05-19 15:38:21.574,-10.00,28.00,5.00,14.00,9.00,103,-92,176,-104,92,-104,a,
2023-05-19 15:38:21.579,21.00,31.00,29.00,19.00,-6.00,-28,-82,-28,94,90,10,,
