2023-05-19 15:41:43.123,28.00,25.00,38.00,22.00,µƒéÏ*:UjW“R-Šø†,,,,,,,
2023-05-19 15:41:43.125,ÖRêWÿHÐ,,,,,,,,,,,
2023-05-19 15:41:43.125,"CtJí´URZ‚RïRJ•EzÊ""°U¤²J(ªWÿ)V…$uÿ*ª?uû",,,,,,,,,,,
2023-05-19 15:41:43.125,"€UþAª)½‘s&«Vrk¤´U”ZW €©üQ¨Õ""`«UW<\…B]	˜",,,,,,,,,,,
2023-05-19 15:41:43.125,PêIMä¢²Qÿ*TjDîöJêP¢×I¢©CÒ×¤‚ïŠªUÊ€ªˆ‰½ R§HR]?ê*Rb]••ù¢ZQÿ„*BR»ÿJTEµ©¢7ŠW¥þ‚ZPÿ*TöŠªU)tH‚©‘ ¤)¥Ö€R€ÿH «€	Õÿ(®ëRbÊbÊŠbÊ‚bÊj,,,,,,,,,,,
2023-05-19 15:41:43.126,-2.00,0.00,2.00,13.00,7.00,69,-90,175,-92,90,-92,a
2023-05-19 15:41:43.128,28.00,26.00,38.00,22.00,3.00,-18,-79,-18,85,89,9,
2023-05-19 15:41:43.138,-3.00,0.00,0.00,13.00,5.00,66,-89,175,-92,90,-92,a
2023-05-19 15:41:43.143,27.00,24.00,39.00,22.00,1.00,-18,-79,-18,88,89,9,
2023-05-19 15:41:43.143,-5.00,0.00,2.00,13.00,6.00,70,-90,174,-91,89,-91,a
2023-05-19 15:41:43.143,28.00,25.00,38.00,22.00,3.00,-20,-80,-20,90,90,10,
2023-05-19 15:41:43.151,-2.00,0.00,2.00,13.00,5.00,73,-90,175,-97,91,-97,a
2023-05-19 15:41:43.155,27.00,24.00,36.00,20.00,0.00,-20,-80,-20,94,90,10,
2023-05-19 15:41:43.160,-3.00,0.00,2.00,13.00,5.00,76,-90,175,-93,90,-93,a
2023-05-19 15:41:43.164,26.00,23.00,36.00,20.00,-2.00,-19,-80,-19,90,90,10,
2023-05-19 15:41:43.169,-6.00,0.00,2.00,13.00,6.00,70,-90,175,-93,90,-93,a
2023-05-19 15:41:43.172,26.00,24.00,37.00,21.00,-4.00,-20,-80,-20,90,90,9,
2023-05-19 15:41:43.178,-6.00,0.00,2.00,13.00,5.00,73,-90,175,-93,90,-93,a
2023-05-19 15:41:43.182,27.00,24.00,38.00,22.00,-4.00,-17,-79,-17,96,91,10,
2023-05-19 15:41:43.188,-3.00,0.00,2.00,13.00,5.00,79,-91,175,-91,89,-91,a
2023-05-19 15:41:43.192,27.00,24.00,38.00,21.00,-2.00,-16,-80,-16,92,90,9,
2023-05-19 15:41:43.204,27.00,24.00,38.00,21.00,0.00,-11,-79,-11,94,90,8,
2023-05-19 15:41:43.208,-4.00,0.00,1.00,13.00,4.00,77,-90,175,-93,90,-93,a
2023-05-19 15:41:43.212,27.00,24.00,38.00,21.00,0.00,-11,-79,-11,90,90,9,
2023-05-19 15:41:43.216,-5.00,0.00,1.00,13.00,5.00,82,-91,175,-96,91,-96,a
2023-05-19 15:41:43.222,28.00,25.00,38.00,22.00,0.00,-19,-80,-19,92,90,9,
2023-05-19 15:41:43.226,-3.00,0.00,1.00,13.00,6.00,79,-91,175,-95,90,-95,a
2023-05-19 15:41:43.231,28.00,24.00,38.00,21.00,3.00,-18,-80,-18,93,90,9,
2023-05-19 15:41:43.238,-4.00,0.00,2.00,12.00,5.00,73,-90,175,-94,90,-94,a
2023-05-19 15:41:43.243,-3.00,-1.00,0.00,13.00,6.00,73,-90,176,-94,90,-94,a
2023-05-19 15:41:43.248,28.00,24.00,37.00,21.00,8.00,-3,-78,-3,85,89,6,
2023-05-19 15:41:43.257,28.00,24.00,38.00,22.00,9.00,-2,-79,-2,87,89,7,
2023-05-19 15:41:43.261,-5.00,0.00,0.00,13.00,5.00,69,-90,175,-95,90,-95,a
2023-05-19 15:41:43.267,27.00,24.00,38.00,21.00,10.00,-8,-79,-8,95,90,7,
2023-05-19 15:41:43.273,-5.00,0.00,2.00,13.00,6.00,73,-90,175,-93,90,-93,a
2023-05-19 15:41:43.278,28.00,25.00,38.00,22.00,10.00,-8,-79,-8,100,91,7,
2023-05-19 15:41:43.284,-4.00,0.00,0.00,13.00,6.00,78,-91,175,-96,90,-96,a
2023-05-19 15:41:43.290,27.00,24.00,39.00,21.00,11.00,-10,-79,-10,98,91,7,
2023-05-19 15:41:43.290,0.00,0.00,0.00,13.00,6.00,74,-90,176,-96,90,-96,a
2023-05-19 15:41:43.296,-5.00,0.00,0.00,13.00,5.00,70,-90,176,-92,90,-92,a
2023-05-19 15:41:43.301,27.00,24.00,38.00,21.00,13.00,-15,-79,-15,100,91,9,
2023-05-19 15:41:43.310,27.00,24.00,37.00,21.00,15.00,-18,-80,-18,103,92,9,
2023-05-19 15:41:43.317,-5.00,0.00,1.00,13.00,5.00,68,-90,176,-94,90,-94,a
2023-05-19 15:41:43.322,25.00,22.00,36.00,20.00,15.00,-20,-80,-20,100,92,10,
2023-05-19 15:41:43.327,-4.00,0.00,1.00,13.00,5.00,61,-90,176,-93,90,-93,a
2023-05-19 15:41:43.332,27.00,24.00,37.00,21.00,16.00,-21,-80,-21,98,91,11,
2023-05-19 15:41:43.337,-3.00,0.00,2.00,13.00,4.00,69,-90,175,-92,90,-92,a
2023-05-19 15:41:43.342,27.00,23.00,36.00,21.00,16.00,-26,-82,-26,101,92,12,
2023-05-19 15:41:43.347,-4.00,0.00,0.00,13.00,6.00,68,-90,176,-94,90,-94,a
2023-05-19 15:41:43.357,28.00,24.00,38.00,21.00,17.00,-33,-82,-33,99,92,13,
